#TYPE Microsoft.PowerShell.Commands.MatchInfo
"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","274","  [DEBUG] Document-level STL success. Size: 253372","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","276","PN: 901-MAIN_WEAR_PLATE.. | Name: 901-MAIN_WEAR_PLATE...1 | Size: 75.0 x 75.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","279","  [DEBUG] Document-level STL success. Size: 253372","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","281","PN: 901-MAIN_WEAR_PLATE.. | Name: 901-MAIN_WEAR_PLATE...2 | Size: 75.0 x 75.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","284","  [DEBUG] Document-level STL success. Size: 336266","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","286","PN: DTPK38-60-20-Y_1 | Name: DTPK38-60-20-Y_1.4 | Size: 38.0 x 60.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","289","  [DEBUG] Document-level STL success. Size: 336266","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","291","PN: DTPK38-60-20-Y_1 | Name: DTPK38-60-20-Y_1.1 | Size: 38.0 x 60.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","294","  [DEBUG] Document-level STL success. Size: 336266","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","296","PN: DTPK38-60-20-Y_1 | Name: DTPK38-60-20-Y_1.2 | Size: 38.0 x 60.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","299","  [DEBUG] Document-level STL success. Size: 336266","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","301","PN: DTPK38-60-20-Y_1 | Name: DTPK38-60-20-Y_1.3 | Size: 38.0 x 60.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","306","PN: LOWER PAD ADAPTER | Name: Part1.1 | Size: Not Measurable","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","309","  [DEBUG] Document-level STL success. Size: 114400","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","311","PN: HITTING BLOCK | Name: Part1.2 | Size: 55.0 x 55.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
